;nro_importaciones;nro_usados;nro_nuevo;nro_otros;nro_destino_europa;nro_destino_asia;nro_destino_america;nro_destino_africa;nro_destino_oceania;total_pesoneto;importe_aduana;importe_iva;importe_salvaguardia;cluster.km
9.90804E+11;12;0;12;0;0;4;8;0;0;20844;331534;43060;4415;2
9.91101E+11;12;0;12;0;1;0;11;0;0;138438;447796;57133;6854;8
9.91231E+11;12;0;12;0;3;3;6;0;0;315043;716101;86699;0;8
9.9136E+11;12;0;12;0;1;6;5;0;0;125629;909815;117048;4494;13
9.92217E+11;12;0;12;0;7;0;5;0;0;3279;270709;34395;0;8
9.92299E+11;12;0;12;0;1;6;5;0;0;4182;291798;42606;0;2
9.92399E+11;12;0;11;1;5;3;4;0;0;12137;512151;65310;0;8
9.92561E+11;12;0;12;0;0;11;1;0;0;326898;679388;82174;0;13
9.92821E+11;12;0;12;0;0;10;2;0;0;257716;638067;77303;1302;13
1.09011E+12;12;0;12;0;1;0;11;0;0;69867;405560;63211;53474;8
